# Japanese word-frequency list derived from the Tatoeba Project corpus.
# License: CC BY 2.0 FR — see NOTICE and docs/adr/0001-japanese-frequency-list.md.
# Generated by tools/genfreq; do not edit by hand.
# rank	word	reading	count
1	は	は	167841
2	の	の	113316
3	た	た	105916
4	に	に	101433
5	を	を	93261
6	て	て	74994
7	が	が	72143
8	だ	で	66585
9	する	し	57403
10	ない	なけれ	46843
11	いる	い	39952
12	彼	かれ	33957
13	ます	ましょ	33918
14	私	わたし	32906
15	で	で	31841
16	と	と	30125
17	です	です	26087
18	か	か	24417
19	よ	よ	18726
20	ある	ある	18480
21	ん	ん	17775
22	こと	こと	17733
23	その	その	16480
24	も	も	15973
25	彼女	かのじょ	15960
26	トム	とむ	15702
27	なる	なり	12724
28	この	この	11475
29	う	う	11306
30	人	にん	9688
31	から	から	9594
32	れる	れ	8823
33	てる	てる	8299
34	何	なに	7963
35	行く	いく	7185
36	たち	たち	6849
37	言う	いっ	6735
38	ば	ば	6507
39	あなた	あなた	6387
40	よう	よう	6326
41	ね	ね	6072
42	たい	たく	5928
43	思う	おもう	5613
44	できる	でき	5449
45	いい	いい	5169
46	君	きみ	4982
47	それ	それ	4966
48	って	って	4538
49	見る	みれ	4528
50	くれる	くれる	4252
51	くる	き	4245
52	お	お	4177
53	な	な	4130
54	彼ら	かれら	4127
55	家	か	4023
56	もの	もの	3925
57	時	とき	3781
58	まで	まで	3714
59	好き	すき	3700
60	自分	じぶん	3682
61	知る	しら	3602
62	くださる	ください	3597
63	へ	へ	3518
64	一	いち	3507
65	中	なか	3498
66	これ	これ	3463
67	来る	き	3301
68	やる	やる	3254
69	本	ほん	3226
70	誰	だれ	3226
71	られる	られ	3200
72	メアリー	めありー	3196
73	なさる	なさい	3176
74	僕	ぼく	3083
75	日	にち	3045
76	仕事	しごと	3027
77	ため	ため	2946
78	より	より	2905
79	時間	じかん	2890
80	そう	そう	2875
81	食べる	たべる	2856
82	ここ	ここ	2839
83	持つ	もっ	2725
84	とても	とても	2699
85	今	いま	2690
86	どう	どう	2662
87	もう	もう	2608
88	あの	あの	2591
89	今日	きょう	2558
90	ので	ので	2547
91	前	まえ	2418
92	よい	よい	2409
93	しまう	しまう	2371
94	せる	せる	2355
95	車	くるま	2342
96	よく	よく	2307
97	買う	かい	2289
98	聞く	きく	2272
99	だけ	だけ	2232
100	どこ	どこ	2218
101	ぬ	ず	2215
102	じゃ	じゃ	2203
103	話す	はなさ	2192
104	的	てき	2166
105	方	ほう	2164
106	という	という	2147
107	子供	こども	2144
108	年	ねん	2131
109	けど	けど	2104
110	達	たち	2026
111	でも	でも	2011
112	会う	あい	1997
113	さ	さ	1938
114	いつも	いつも	1924
115	英語	えいご	1893
116	必要	ひつよう	1881
117	者	しゃ	1876
118	日本	にっぽん	1859
119	すぐ	すぐ	1817
120	問題	もんだい	1817
121	読む	よみ	1812
122	ところ	ところ	1797
123	べし	べき	1760
124	部屋	へや	1758
125	まだ	まだ	1754
126	いく	いか	1741
127	学校	がっこう	1741
128	いける	いけ	1707
129	さん	さん	1693
130	出る	でる	1693
131	事	こと	1684
132	勉強	べんきょう	1668
133	明日	あした	1665
134	みる	み	1653
135	について	について	1644
136	電話	でんわ	1627
137	新しい	あたらしい	1603
138	手	て	1598
139	気	き	1597
140	我々	われわれ	1589
141	わかる	わから	1587
142	とき	とき	1572
143	分かる	わかり	1571
144	昨日	きのう	1559
145	書く	かく	1552
146	話	はなし	1544
147	雨	あめ	1507
148	目	め	1497
149	そんな	そんな	1482
150	良い	よい	1455
151	フランス語	ふらんすご	1438
152	いう	いわ	1437
153	悪い	わるい	1417
154	使う	つかう	1402
155	入る	はいり	1402
156	住む	すん	1390
157	先生	せんせい	1385
158	お金	おかね	1376
159	ご	ご	1353
160	ほど	ほど	1346
161	たくさん	たくさん	1343
162	飲む	のみ	1335
163	父	ちち	1333
164	犬	いぬ	1308
165	そこ	そこ	1306
166	考える	かんがえ	1301
167	下さる	ください	1297
168	見える	みえ	1289
169	のに	のに	1272
170	つもり	つもり	1259
171	友達	ともだち	1250
172	すぎる	すぎる	1238
173	高い	たかい	1228
174	二	に	1225
175	つく	つか	1214
176	なんて	なんて	1209
177	少し	すこし	1195
178	上	じょう	1194
179	教える	おしえ	1193
180	帰る	かえっ	1176
181	みんな	みんな	1167
182	待つ	まつ	1167
183	や	や	1160
184	語	ご	1152
185	もらう	もらい	1146
186	寝る	ね	1138
187	もっと	もっと	1136
188	早い	はやく	1136
189	忘れる	わすれ	1118
190	手紙	てがみ	1114
191	として	として	1113
192	おく	おこ	1112
193	男	おとこ	1112
194	ちゃう	ちゃう	1110
195	多く	おおく	1102
196	一緒	いっしょ	1099
197	うち	うち	1077
198	わ	わ	1071
199	かかる	かかっ	1053
200	働く	はたらき	1051
201	同じ	おなじ	1051
202	かも	かも	1046
203	一番	いちばん	1036
204	間	ま	1027
205	本当に	ほんとうに	1024
206	俺	おれ	1015
207	水	すい	1014
208	計画	けいかく	1013
209	終わる	おわっ	1010
210	始める	はじめる	998
211	作る	つくっ	992
212	あげる	あげる	990
213	結婚	けっこん	985
214	ちょっと	ちょっと	982
215	入れる	いれる	979
216	名前	なまえ	973
217	くらい	くらい	969
218	歩く	あるい	955
219	また	また	934
220	成功	せいこう	930
221	かける	かけ	929
222	取る	とら	920
223	ほとんど	ほとんど	915
224	アメリカ	あめりか	912
225	事故	じこ	912
226	言葉	ことば	910
227	バス	ばす	909
228	後	ご	907
229	出す	ださ	906
230	長い	ながい	905
231	母	はは	888
232	歳	さい	886
233	降る	ふっ	875
234	いつ	いつ	874
235	欲しい	ほしい	869
236	つける	つけ	867
237	どの	どの	865
238	信じる	しんじる	864
239	映画	えいが	863
240	多い	おお	858
241	死ぬ	しん	858
242	どうして	どうして	855
243	病気	びょうき	853
244	すべて	すべて	847
245	国	くに	846
246	旅行	りょこう	840
247	テレビ	てれび	838
248	駅	えき	838
249	夜	よる	827
250	度	たび	824
251	ずっと	ずっと	822
252	分	ふん	820
253	子	こ	817
254	金	きん	817
255	あまり	あまり	810
256	しれる	しれ	809
257	少年	しょうねん	804
258	会社	かいしゃ	798
259	着く	つく	795
260	ボストン	ぼすとん	789
261	世界	せかい	787
262	出来る	でき	783
263	パーティー	ぱーてぃー	782
264	どんな	どんな	767
265	行う	おこなわ	767
266	猫	ねこ	764
267	うまい	うまく	763
268	息子	むすこ	763
269	店	みせ	762
270	大きな	おおきな	760
271	若い	わかい	760
272	とる	とり	757
273	起きる	おき	757
274	朝	あさ	755
275	やめる	やめ	754
276	道	みち	754
277	医者	いしゃ	747
278	試験	しけん	743
279	難しい	むずかしい	741
280	ほう	ほう	739
281	コーヒー	こーひー	736
282	頭	あたま	735
283	生活	せいかつ	734
284	しか	しか	729
285	人々	ひとびと	726
286	毎日	まいにち	726
287	大	だい	725
288	ドア	どあ	724
289	学生	がくせい	721
290	美しい	うつくしい	721
291	座る	すわっ	716
292	受ける	うけ	715
293	顔	かお	715
294	人間	にんげん	714
295	運転	うんてん	714
296	お前	おまえ	713
297	通り	どおり	708
298	以上	いじょう	703
299	次	つぎ	695
300	起こる	おこる	695
301	乗る	のっ	692
302	大きい	おおきく	688
303	町	まち	683
304	心	しん	674
305	数	すう	673
306	もし	もし	672
307	他	た	672
308	出発	しゅっぱつ	666
309	ながら	ながら	664
310	走る	はしる	660
311	忙しい	いそがしく	654
312	花	はな	654
313	手伝う	てつだっ	652
314	お願い	おねがい	650
315	健康	けんこう	646
316	本当	ほんとう	646
317	楽しい	たのしく	644
318	全部	ぜんぶ	640
319	戻る	もどり	640
320	最近	さいきん	636
321	こんな	こんな	633
322	出かける	でかけ	628
323	物	もの	625
324	ばかり	ばかり	623
325	遅れる	おくれ	623
326	わけ	わけ	622
327	呼ぶ	よん	622
328	音楽	おんがく	618
329	質問	しつもん	617
330	ジョン	じょん	616
331	力	ちから	616
332	料理	りょうり	616
333	見つける	みつけ	612
334	によって	によって	611
335	ドル	どる	611
336	つ	つ	609
337	家族	かぞく	607
338	東京	とうきょう	607
339	ありがとう	ありがとう	605
340	寒い	さむい	605
341	女性	じょせい	604
342	大変	たいへん	602
343	写真	しゃしん	600
344	理解	りかい	600
345	意見	いけん	598
346	約束	やくそく	597
347	考え	かんがえ	596
348	着る	きる	594
349	電車	でんしゃ	592
350	両親	りょうしん	589
351	大学	だいがく	588
352	どれ	どれ	587
353	川	かわ	586
354	覚える	おぼえ	585
355	雪	ゆき	584
356	全く	まったく	583
357	そんなに	そんなに	582
358	心配	しんぱい	579
359	窓	まど	578
360	すごい	すごく	575
361	木	き	575
362	失敗	しっぱい	573
363	意味	いみ	571
364	月	つき	570
365	説明	せつめい	570
366	続ける	つづける	566
367	回	かい	565
368	外	そと	563
369	たり	たり	561
370	生徒	せいと	561
371	疲れる	つかれ	561
372	大好き	だいすき	560
373	生きる	いき	558
374	頃	ころ	557
375	泣く	なか	556
376	怒る	おこっ	554
377	与える	あたえ	553
378	非常	ひじょう	553
379	飛行機	ひこうき	553
380	女の子	おんなのこ	552
381	探す	さがし	551
382	話せる	はなせ	550
383	動物	どうぶつ	548
384	違う	ちがっ	547
385	外国	がいこく	546
386	どちら	どちら	544
387	にとって	にとって	543
388	がる	がっ	542
389	でる	で	542
390	列車	れっしゃ	542
391	得る	え	542
392	天気	てんき	541
393	立つ	たっ	537
394	人生	じんせい	536
395	ぞ	ぞ	535
396	声	こえ	535
397	友人	ゆうじん	534
398	関係	かんけい	533
399	親切	しんせつ	530
400	驚く	おどろく	529
401	感じる	かんじ	528
402	ひどい	ひどく	526
403	一つ	ひとつ	522
404	口	くち	521
405	遅い	おそく	520
406	上手	じょうず	519
407	笑う	わらっ	519
408	なぜ	なぜ	518
409	開ける	あけ	516
410	テニス	てにす	514
411	送る	おくっ	512
412	週間	しゅうかん	512
413	音	おと	512
414	試合	しあい	511
415	重要	じゅうよう	511
416	強い	つよい	509
417	努力	どりょく	506
418	注意	ちゅうい	506
419	決める	きめる	505
420	夢	ゆめ	503
421	みたい	みたい	502
422	だって	だって	501
423	決して	けっして	500
424	三	さん	499
425	時計	とけい	498
426	宿題	しゅくだい	493
427	日本語	にほんご	493
428	授業	じゅぎょう	491
429	幸せ	しあわせ	488
430	聞こえる	きこえ	488
431	ただ	ただ	487
432	自転車	じてんしゃ	487
433	結果	けっか	486
434	もらえる	もらえ	485
435	娘	むすめ	485
436	開く	ひらい	485
437	服	ふく	483
438	夏	なつ	482
439	性	せい	482
440	学ぶ	まなん	481
441	置く	おい	481
442	あいつ	あいつ	480
443	近く	ちかく	480
444	あれ	あれ	479
445	予定	よてい	475
446	場所	ばしょ	475
447	し	し	474
448	初めて	はじめて	473
449	面白い	おもしろい	473
450	小説	しょうせつ	472
451	正しい	ただしい	472
452	わたし	わたし	471
453	足	あし	471
454	会	かい	467
455	公園	こうえん	467
456	これら	これら	466
457	はず	はず	465
458	絵	え	465
459	体	からだ	463
460	いくら	いくら	461
461	十	じゅう	461
462	オーストラリア	おーすとらりあ	460
463	円	えん	460
464	昔	むかし	459
465	食事	しょくじ	457
466	変わる	かわっ	456
467	見せる	みせ	456
468	古い	ふるい	453
469	合う	あう	453
470	点	てん	452
471	生まれる	うまれ	452
472	警察	けいさつ	452
473	過ぎる	すぎる	452
474	選ぶ	えらん	452
475	簡単	かんたん	451
476	嘘	うそ	446
477	ホテル	ほてる	445
478	十分	じゅうぶん	445
479	嫌い	きらい	445
480	山	やま	445
481	午後	ごご	444
482	貸す	かし	443
483	など	など	442
484	靴	くつ	442
485	急ぐ	いそい	441
486	愛す	あいし	441
487	速い	はやく	441
488	危険	きけん	440
489	求める	もとめる	440
490	風	かぜ	440
491	理由	りゆう	438
492	遊ぶ	あそん	434
493	終える	おえ	432
494	箱	ばこ	430
495	小さな	ちいさな	427
496	辞書	じしょ	427
497	暑い	あつく	426
498	最初	さいしょ	426
499	大切	たいせつ	425
500	クラス	くらす	424
501	お母さん	おかあさん	422
502	きれい	きれい	422
503	万	まん	422
504	間違い	まちがい	422
505	いただける	いただけ	421
506	らしい	らしい	421
507	全て	すべて	421
508	気持ち	きもち	421
509	気分	きぶん	420
510	まま	まま	418
511	妻	つま	418
512	助ける	たすけ	417
513	ちゃ	ちゃ	416
514	落ちる	おち	415
515	空	そら	414
516	ござる	ござい	413
517	なんで	なんで	413
518	過ごす	すごし	412
519	新聞	しんぶん	411
520	時代	じだい	411
521	少女	しょうじょ	410
522	かなり	かなり	409
523	やすい	やすい	409
